ticket,filename,path,size,date,author,description,status
1035,OpenModelica-9999.ebuild,ticket/1035/OpenModelica-9999.ebuild,4681,2009-03-10 03:20:08,ebo,"The attached files are gentoo (portage) ebuilds for version 1.4.5 and a live SVN version.  These are really rough, but appear to work.    I would like you to review the changes in OpenModelica-1.4.5-build_fixes.patch for general inclusion back into the source tree.  Thanks and best regards,    EBo --",ok
1037,qmake_files.tgz,ticket/1037/qmake_files.tgz,9030,2009-03-15 07:34:15,ebo,,ok
1053,TestComplexWaveTotal.mo,ticket/1053/TestComplexWaveTotal.mo,33678,2010-01-13 10:01:36,brugard,This is the example from Tillers book.,ok
1092,10.1.1.58.8788.2.pdf,ticket/1092/10.1.1.58.8788.2.pdf,211978,2012-07-24 14:38:01,anonymous,,ok
1092,10.1.1.58.8788.pdf,ticket/1092/10.1.1.58.8788.pdf,211978,2012-07-24 14:37:35,anonymous,,ok
1093,StackOverflow.mo,ticket/1093/StackOverflow.mo,493,2009-03-24 17:47:27,Schubert TUD,,ok
1094,RealInput.mo,ticket/1094/RealInput.mo,463,2009-03-25 09:41:51,Schubert TUD,,ok
1101,Test.xml,ticket/1101/Test.xml,1828,2009-05-06 14:54:55,TimoPenndorf,,size-differs
1101,test.mo,ticket/1101/test.mo,146,2009-05-06 14:54:54,TimoPenndorf,,ok
1101,test.mos,ticket/1101/test.mos,66,2009-05-06 14:54:55,TimoPenndorf,,ok
1103,MotorDriveTest2.mo,ticket/1103/MotorDriveTest2.mo,1664,2009-05-14 09:40:28,nalbarel,,ok
1118,out.txt,ticket/1118/out.txt,190097,2009-11-26 17:53:58,Schubert TUD,,size-differs
1135,CylinderDouble1Total.mo,ticket/1135/CylinderDouble1Total.mo,64836,2010-01-13 13:20:05,brugard,,ok
1139,1139.mo,ticket/1139/1139.mo,1701,2010-01-21 12:34:06,sjoelund.se,Works For Me (TM): Attached the actual output from OpenModelica r4842,ok
1144,FacultyCallTotal.mo,ticket/1144/FacultyCallTotal.mo,9173,2010-01-13 13:44:54,brugard,,ok
1149,DiagonalBlockTestTotal.mo,ticket/1149/DiagonalBlockTestTotal.mo,68430,2010-01-13 13:55:53,brugard,,ok
1151,surf_orient_alias_defTotal.mo,ticket/1151/surf_orient_alias_defTotal.mo,50984,2010-01-14 10:18:54,kargu,,ok
1159,test.c,ticket/1159/test.c,200,2010-02-01 10:34:11,hkiel,"{{{OpenModelica 1.5.0 Copyright (c) OSMC 2002-2009   To get help on using OMShell and OpenModelica, type ""help()"" and press enter. >> cd()  ""C:/OpenModelica1.5.0/tmp"" >> system(""gcc -c test.c"")  0 >> loadFile(""test.mo"")  true >> simulate(Motor, stopTime=1.0, numberOfIntervals=2000)  record SimulationResult      resultFile = ""Motor_res.plt""  end SimulationResult;  }}} {{{edit test.h such that a compile error must occur (e.g. ""int"" -> ""intx"")}}} {{{  >> simulate(Motor, stopTime=1.0, numberOfIntervals=2000)  record SimulationResult      resultFile = ""Motor_res.plt""  end SimulationResult;   >> }}}",size-differs
1159,test.h,ticket/1159/test.h,37,2010-02-01 10:34:11,hkiel,"{{{OpenModelica 1.5.0 Copyright (c) OSMC 2002-2009   To get help on using OMShell and OpenModelica, type ""help()"" and press enter. >> cd()  ""C:/OpenModelica1.5.0/tmp"" >> system(""gcc -c test.c"")  0 >> loadFile(""test.mo"")  true >> simulate(Motor, stopTime=1.0, numberOfIntervals=2000)  record SimulationResult      resultFile = ""Motor_res.plt""  end SimulationResult;  }}} {{{edit test.h such that a compile error must occur (e.g. ""int"" -> ""intx"")}}} {{{  >> simulate(Motor, stopTime=1.0, numberOfIntervals=2000)  record SimulationResult      resultFile = ""Motor_res.plt""  end SimulationResult;   >> }}}",size-differs
1159,test.mo,ticket/1159/test.mo,1379,2010-02-01 10:34:11,hkiel,"{{{OpenModelica 1.5.0 Copyright (c) OSMC 2002-2009   To get help on using OMShell and OpenModelica, type ""help()"" and press enter. >> cd()  ""C:/OpenModelica1.5.0/tmp"" >> system(""gcc -c test.c"")  0 >> loadFile(""test.mo"")  true >> simulate(Motor, stopTime=1.0, numberOfIntervals=2000)  record SimulationResult      resultFile = ""Motor_res.plt""  end SimulationResult;  }}} {{{edit test.h such that a compile error must occur (e.g. ""int"" -> ""intx"")}}} {{{  >> simulate(Motor, stopTime=1.0, numberOfIntervals=2000)  record SimulationResult      resultFile = ""Motor_res.plt""  end SimulationResult;   >> }}}",ok
1161,Arith.mo,ticket/1161/Arith.mo,183,2010-02-01 20:34:06,asodja,,ok
1164,MAssign.mo,ticket/1164/MAssign.mo,193,2010-02-10 20:15:02,asodja,,ok
1172,DiningTableTotal.mo,ticket/1172/DiningTableTotal.mo,22800,2010-02-12 08:00:24,kargu,,ok
1181,Philosopher.mo,ticket/1181/Philosopher.mo,35046,2010-03-22 08:10:40,petar,,ok
1193,LoopsTotal.mo,ticket/1193/LoopsTotal.mo,301862,2010-04-14 04:41:11,adrpo,"This is a bigger model that has this error.  {{{ ./omc LoopsTotal.mos [LoopsTotal.mo:3786:13-3787:72:readonly] Error: Variable jointRRP.e_im: trying to override final variable in class:  Error: Error occured while flattening model Modelica.Mechanics.MultiBody.Examples.Loops.Engine1b_analytic }}}  If this error is fixed on the smaller model, it should be verified also against this bigger model.",ok
1193,LoopsTotal.mos,ticket/1193/LoopsTotal.mos,145,2010-04-14 04:41:12,adrpo,"This is a bigger model that has this error.  {{{ ./omc LoopsTotal.mos [LoopsTotal.mo:3786:13-3787:72:readonly] Error: Variable jointRRP.e_im: trying to override final variable in class:  Error: Error occured while flattening model Modelica.Mechanics.MultiBody.Examples.Loops.Engine1b_analytic }}}  If this error is fixed on the smaller model, it should be verified also against this bigger model.",ok
1199,TestGlycolTotal.mo,ticket/1199/TestGlycolTotal.mo,69322,2010-04-20 12:32:59,sjoelund.se,,ok
1214,DiodeTestCircuit.onb,ticket/1214/DiodeTestCircuit.onb,14043,2010-04-30 02:51:13,oscarperez,"onb file, And simulation images (correct result and openmodelica wrong result)",ok
1214,DiodeTestCircuitCorrectSimulationResult.png,ticket/1214/DiodeTestCircuitCorrectSimulationResult.png,10297,2010-04-30 02:51:13,oscarperez,"onb file, And simulation images (correct result and openmodelica wrong result)",ok
1214,DiodeTestCircuitOpenModelicaSimulationResult.png,ticket/1214/DiodeTestCircuitOpenModelicaSimulationResult.png,5108,2010-04-30 02:51:13,oscarperez,"onb file, And simulation images (correct result and openmodelica wrong result)",ok
1218,Routing.mo,ticket/1218/Routing.mo,32869,2010-05-04 15:10:12,perob88,,ok
1218,TranslationalTests.mo,ticket/1218/TranslationalTests.mo,3927,2010-05-04 15:10:12,perob88,,ok
1222,Rectifier.mo,ticket/1222/Rectifier.mo,3659,2010-05-06 12:47:06,mohsen,,ok
1222,plot.doc,ticket/1222/plot.doc,116736,2010-05-06 12:47:06,mohsen,,ok
1223,plot.doc,ticket/1223/plot.doc,116736,2010-05-06 12:48:34,mohsen,,ok
1229,Watchdog.zip,ticket/1229/Watchdog.zip,375112,2010-05-21 13:49:15,perost,Watchdog model,ok
1230,TwoTanks.zip,ticket/1230/TwoTanks.zip,383638,2010-05-21 13:49:41,perost,,ok
1234,ContainerSimple.mo,ticket/1234/ContainerSimple.mo,24450,2010-10-06 10:55:52,AlexeyLebedev,A simplified version of ContainerTotal.mo with the same problem,ok
1234,ContainerTotal.mo,ticket/1234/ContainerTotal.mo,110080,2010-06-08 13:27:58,petar,More examples with similar error.,ok
1234,CytosolTotal.mo,ticket/1234/CytosolTotal.mo,74578,2010-06-08 13:27:58,petar,More examples with similar error.,ok
1234,extra_cellularTotal.mo,ticket/1234/extra_cellularTotal.mo,115836,2010-06-08 13:22:48,petar,,ok
1238,Model1.mo,ticket/1238/Model1.mo,4110,2010-08-09 11:06:52,kargu,,ok
1238,Model2.mo,ticket/1238/Model2.mo,4148,2010-08-09 11:06:52,kargu,,ok
1244,ParticleEffectTotal.mo,ticket/1244/ParticleEffectTotal.mo,104303,2010-09-02 05:29:12,adrpo,test,ok
1245,TestComplexWaveTotal.mo,ticket/1245/TestComplexWaveTotal.mo,33678,2010-09-02 05:31:06,adrpo,test,ok
1249,TestRedCells2NoExpandable.mo,ticket/1249/TestRedCells2NoExpandable.mo,80033,2010-08-25 19:55:36,ppriv,,upload-failed
1255,EngineV6Total.mo,ticket/1255/EngineV6Total.mo,345220,2010-09-02 16:40:55,perost,EngineV6Total,ok
1256,library.zip,ticket/1256/library.zip,48351,2010-09-07 07:37:15,asodja,Attachment uploaded again.,ok
1257,block_test.mo,ticket/1257/block_test.mo,466,2010-08-31 14:02:45,jlettau,,ok
1259,cholesterol_hepatociteTotal.mo,ticket/1259/cholesterol_hepatociteTotal.mo,243588,2010-09-01 14:34:47,asodja,,upload-failed
1261,ttTest.mo,ticket/1261/ttTest.mo,3772,2010-09-06 12:51:04,asodja,,ok
1261,ttTest2.mo,ticket/1261/ttTest2.mo,8684,2010-09-07 12:00:14,asodja,"Bug in event-handling is also evident when {{CombiTimeTable}} is used instead of {{TimeTable}}. In that case, parameter {{t_min}} and {{t_max}} never get initialized properly. They are initialized in initial-equation section: {{{initial equation    t_min = tableTimeTmin(tableID);   t_max = tableTimeTmax(tableID); }}} But equations from inital-equation section get evaluated before the initial() event is handeled. In this case, in initial() event {{tableTimeInit()}} is called which return valid value of variable {{tableID}}.",ok
1264,OSMC milestone - red october.docx,ticket/1264/OSMC milestone - red october.docx,46299,2010-09-09 07:06:55,adrpo,milestone document.,ok
1264,OSMC-CheckMSL-100906.xls,ticket/1264/OSMC-CheckMSL-100906.xls,29184,2010-09-09 05:24:50,adrpo,,ok
1264,Performance-analysis-preliminary-MathCore-100906.ppt,ticket/1264/Performance-analysis-preliminary-MathCore-100906.ppt,273920,2010-09-09 06:26:42,adrpo,Performance analysis document with color markers: * green - should do * orange - maybe * red - later.,ok
1264,traceCheckModelica-2010_10_20-23_32.txt,ticket/1264/traceCheckModelica-2010_10_20-23_32.txt,1374701,2010-10-21 09:46:00,adrpo,run of {{{checkAllModelsRecursive(Modelica)}}} from 2010-10-20.,size-differs
1265,OSMC-CheckMSL-100906.xls,ticket/1265/OSMC-CheckMSL-100906.xls,29184,2010-09-09 05:53:47,adrpo,,ok
1265,failingModels-Modelica3.1.txt,ticket/1265/failingModels-Modelica3.1.txt,19819,2010-09-09 13:39:32,adrpo,This is the result of running: {{{  loadModel(Modelica);  checkAllModelsRecursive(Modelica); }}} Filtered so just the failing models are included.,ok
1268,Modelica.Mechanics.MultiBody.Examples.Loops.Fourbar1.gv,ticket/1268/Modelica.Mechanics.MultiBody.Examples.Loops.Fourbar1.gv,5895,2010-09-30 01:43:21,adrpo,"The generated file when running {{{omc +d=cgraphGraphVizFile Fourbar1.mos}}.\\ The definite roots, potential roots, branches, connects, selected roots and broken connects\\ are outlined so the user understands how OpenModelica broke the overconstrained connection graph.\\ Open this graph using GraphViz to have a look.",ok
1268,Modelica.Mechanics.MultiBody.Examples.Loops.Fourbar1.pdf,ticket/1268/Modelica.Mechanics.MultiBody.Examples.Loops.Fourbar1.pdf,546093,2010-09-30 02:00:04,adrpo,svg and pdf of Fourbar1 model.,ok
1268,Modelica.Mechanics.MultiBody.Examples.Loops.Fourbar1.svg,ticket/1268/Modelica.Mechanics.MultiBody.Examples.Loops.Fourbar1.svg,26231,2010-09-30 02:00:04,adrpo,svg and pdf of Fourbar1 model.,ok
1275,planarRotationTotal.mo,ticket/1275/planarRotationTotal.mo,37858,2010-10-13 15:52:47,dhedberg,"Run the mos file and check the results. OpenModelica produces the following for me:  {{{ true instantiateDaeFunction failed for Math.sin in scope: Modelica.Mechanics.MultiBody.Frames.Quaternions.planarRotation instantiateDaeFunction failed for Math.sin in scope: Modelica.Mechanics.MultiBody.Frames.Quaternions.planarRotation ""Error: No matching function found for Math.sin(angle / 2.0) of type function(x:Real) => Real in component <NO COMPONENT>, candidates are function(x:Real) => Real Error: Class Math.sin not found in scope Modelica.Mechanics.MultiBody.Frames.Quaternions.planarRotation. Error: Wrong type or wrong number of arguments to vector([e * Math.sin(angle / 2);Math.cos(angle / 2)])'.  (in component <NO COMPONENT>) Error: No matching function found for Math.sin(angle / 2.0) of type function(x:Real) => Real in component <NO COMPONENT>, candidates are function(x:Real) => Real Error: Class Math.sin not found in scope Modelica.Mechanics.MultiBody.Frames.Quaternions.planarRotation. Error: Wrong type or wrong number of arguments to vector([e * Math.sin(angle / 2);Math.cos(angle / 2)])'.  (in component <NO COMPONENT>) "" """" }}}  So it does not seem to work as suggested, hence reopening this ticket.",ok
1275,planarRotationTotal.mos,ticket/1275/planarRotationTotal.mos,132,2010-10-13 15:52:48,dhedberg,"Run the mos file and check the results. OpenModelica produces the following for me:  {{{ true instantiateDaeFunction failed for Math.sin in scope: Modelica.Mechanics.MultiBody.Frames.Quaternions.planarRotation instantiateDaeFunction failed for Math.sin in scope: Modelica.Mechanics.MultiBody.Frames.Quaternions.planarRotation ""Error: No matching function found for Math.sin(angle / 2.0) of type function(x:Real) => Real in component <NO COMPONENT>, candidates are function(x:Real) => Real Error: Class Math.sin not found in scope Modelica.Mechanics.MultiBody.Frames.Quaternions.planarRotation. Error: Wrong type or wrong number of arguments to vector([e * Math.sin(angle / 2);Math.cos(angle / 2)])'.  (in component <NO COMPONENT>) Error: No matching function found for Math.sin(angle / 2.0) of type function(x:Real) => Real in component <NO COMPONENT>, candidates are function(x:Real) => Real Error: Class Math.sin not found in scope Modelica.Mechanics.MultiBody.Frames.Quaternions.planarRotation. Error: Wrong type or wrong number of arguments to vector([e * Math.sin(angle / 2);Math.cos(angle / 2)])'.  (in component <NO COMPONENT>) "" """" }}}  So it does not seem to work as suggested, hence reopening this ticket.",ok
1276,log-gprof-no-string-sharing.txt,ticket/1276/log-gprof-no-string-sharing.txt,1321777,2010-09-12 23:59:49,adrpo,The gprof logs for the execution.,ok
1276,log-gprof-sting-sharing.txt,ticket/1276/log-gprof-sting-sharing.txt,1300037,2010-09-12 23:59:49,adrpo,The gprof logs for the execution.,ok
1276,traceEngineV6-no-string-sharing.txt,ticket/1276/traceEngineV6-no-string-sharing.txt,5086544,2010-09-12 23:54:39,adrpo,The execution traces.,size-differs
1276,traceEngineV6-string-sharing.txt,ticket/1276/traceEngineV6-string-sharing.txt,5086575,2010-09-12 23:54:40,adrpo,The execution traces.,size-differs
1281,SlidingJointTest.zip,ticket/1281/SlidingJointTest.zip,292006,2010-09-13 11:08:00,asodja,,ok
1294,A.zip,ticket/1294/A.zip,445,2010-09-23 00:32:00,adrpo,Added the files for future reference.,ok
1330,sort-new.txt,ticket/1330/sort-new.txt,340886,2010-10-22 18:45:17,adrpo,,ok
1330,sort-old.txt,ticket/1330/sort-old.txt,339990,2010-10-22 18:45:17,adrpo,,ok
1334,TestGlycolTotal.mo,ticket/1334/TestGlycolTotal.mo,69322,2011-02-18 06:16:39,sjoelund.se,I can't remember if I modified this test or not work around lookup issues. So I'll attach the model I used.,ok
1335,annotations.mos,ticket/1335/annotations.mos,2743,2010-11-04 08:58:35,adrpo,example of calls/results.,ok
1335,trace-annotations.mos.txt,ticket/1335/trace-annotations.mos.txt,6088,2010-11-04 08:58:35,adrpo,example of calls/results.,size-differs
1349,ExtractorTestTotal.mo,ticket/1349/ExtractorTestTotal.mo,73205,2010-11-05 14:05:45,petar,,ok
1358,linker.log,ticket/1358/linker.log,16762,2010-11-15 16:14:34,sjoelund.se,Missing function definitions for the linker,ok
1364,AsubCrefIndexing.mo,ticket/1364/AsubCrefIndexing.mo,1567,2010-11-24 14:20:18,adrpo,,ok
1364,AsubCrefIndexing.mos,ticket/1364/AsubCrefIndexing.mos,1412,2010-11-24 14:20:18,adrpo,,ok
1365,simulate-msl31-examples.mos,ticket/1365/simulate-msl31-examples.mos,12827,2010-11-25 07:30:31,adrpo,,ok
1365,trace.zip,ticket/1365/trace.zip,198775,2010-11-25 07:30:31,adrpo,,ok
1372,MathExample.mos,ticket/1372/MathExample.mos,533,2010-12-10 11:17:10,petar,,ok
1372,MathTest.mo,ticket/1372/MathTest.mo,454,2010-12-10 11:17:10,petar,,ok
1376,OMEdit-cannot-save.png,ticket/1376/OMEdit-cannot-save.png,60165,2010-12-14 13:51:51,adrpo,,ok
1377,OMEdit-simulation-messages.png,ticket/1377/OMEdit-simulation-messages.png,126320,2010-12-14 14:00:51,adrpo,,ok
1378,omEdit_error.png,ticket/1378/omEdit_error.png,79834,2010-12-14 14:57:15,alexp,,ok
1381,print.pdf,ticket/1381/print.pdf,70246,2010-12-17 12:45:59,sjoelund.se,(Almost) working file.,ok
1384,main.log,ticket/1384/main.log,274761,2010-12-18 18:15:03,PDM,,ok
1384,main2.log,ticket/1384/main2.log,275069,2010-12-19 23:34:08,PDM,Shows the build failure in r7499.,ok
1403,CutForceAndTorque1Total.mo,ticket/1403/CutForceAndTorque1Total.mo,243441,2011-01-13 16:04:52,leonardo.laguna,,ok
1424,screenshort1.bmp,ticket/1424/screenshort1.bmp,522706,2011-02-02 16:48:59,Andrey Vitushkin,,ok
1424,screenshort2.bmp,ticket/1424/screenshort2.bmp,271782,2011-02-02 16:49:00,Andrey Vitushkin,,ok
1425,RL_Circuit.mo,ticket/1425/RL_Circuit.mo,1313,2011-02-03 20:12:08,adeas31,,ok
1425,openmodelica1-5.png,ticket/1425/openmodelica1-5.png,245823,2011-02-03 20:12:08,adeas31,,ok
1425,openmodelica1-6.png,ticket/1425/openmodelica1-6.png,226837,2011-02-03 20:12:08,adeas31,,ok
1448,110313_OMI_changevalue_Test3.png,ticket/1448/110313_OMI_changevalue_Test3.png,262264,2011-03-13 18:15:18,isiho,,ok
1448,110313_OMI_changevalue_Test4.png,ticket/1448/110313_OMI_changevalue_Test4.png,252379,2011-03-13 18:15:18,isiho,,ok
1464,OMEdit_screen.png,ticket/1464/OMEdit_screen.png,71132,2015-03-18 16:20:18,perost,,ok
1464,error.png,ticket/1464/error.png,36538,2015-03-18 16:14:44,adeas31,,ok
1466,Model-trace-bug-1466.txt,ticket/1466/Model-trace-bug-1466.txt,9596870,2011-04-01 20:56:37,adrpo,Trace of running Model.mos,size-differs
1466,Model.mos,ticket/1466/Model.mos,75,2011-04-01 13:47:01,dhedberg,,ok
1466,ModelTotal.mo,ticket/1466/ModelTotal.mo,1657627,2011-04-01 13:47:01,dhedberg,,ok
1475,A.mo,ticket/1475/A.mo,131,2013-08-02 10:27:16,adeas31,,ok
1478,Microwave.mo,ticket/1478/Microwave.mo,7322,2011-04-12 13:46:17,perost,,ok
1491,SIUnits.mos,ticket/1491/SIUnits.mos,176095,2011-04-19 17:16:37,perost,,ok
1493,JBouncingBall.mo,ticket/1493/JBouncingBall.mo,971,2011-04-20 10:53:00,sjoelund.se,First file (UTF-8),ok
1554,OMEdit.png,ticket/1554/OMEdit.png,83890,2011-06-04 12:11:46,ufechner,,ok
1557,napaka.mo,ticket/1557/napaka.mo,926,2011-06-21 13:49:18,asodja,Adding forgotten attachment.,ok
1559,SimpsonTest_1.mo,ticket/1559/SimpsonTest_1.mo,655,2011-06-22 10:19:04,asodja,,ok
1559,SimpsonTest_2.mo,ticket/1559/SimpsonTest_2.mo,707,2011-06-22 10:19:04,asodja,,ok
1559,SimpsonTest_3.mo,ticket/1559/SimpsonTest_3.mo,680,2011-06-22 10:19:04,asodja,,ok
1569,AlgorithmFor6.mo,ticket/1569/AlgorithmFor6.mo,553,2011-07-11 15:13:34,Dongliang Li,,ok
1581,log-om.txt,ticket/1581/log-om.txt,2729985,2011-08-01 19:15:45,amadeus,,ok
1583,array_bug.mo,ticket/1583/array_bug.mo,628,2011-08-02 13:32:04,jlettau,,ok
1599,inertia-clutch.png,ticket/1599/inertia-clutch.png,47291,2011-08-30 14:54:48,sjoelund.se,Plot in OMC trunk,ok
1599,testJInit.mo,ticket/1599/testJInit.mo,1427,2011-08-30 14:47:22,peterjunglas,,ok
1599,testJInit.mos,ticket/1599/testJInit.mos,127,2011-08-30 14:47:22,peterjunglas,,ok
1608,GearWithExternalRatio.mo,ticket/1608/GearWithExternalRatio.mo,571,2011-09-02 16:34:05,peterjunglas,,ok
1608,schaltgetriebe.txt,ticket/1608/schaltgetriebe.txt,220,2011-09-02 16:34:05,peterjunglas,,ok
1608,testGear2.mo,ticket/1608/testGear2.mo,2403,2011-09-02 16:34:05,peterjunglas,,ok
1608,testGear2.mos,ticket/1608/testGear2.mos,165,2011-09-02 16:35:48,peterjunglas,additional test files,ok
1608,testGear3.mo,ticket/1608/testGear3.mo,2400,2011-09-02 16:35:48,peterjunglas,additional test files,ok
1608,testGear4.mo,ticket/1608/testGear4.mo,1677,2011-09-02 16:35:48,peterjunglas,additional test files,ok
1611,triggeredsampler1.mo,ticket/1611/triggeredsampler1.mo,445,2011-09-07 08:48:49,peterjunglas,,ok
1611,triggeredsampler2.mo,ticket/1611/triggeredsampler2.mo,331,2011-09-07 08:48:49,peterjunglas,,ok
1612,pendel1.mo,ticket/1612/pendel1.mo,982,2011-09-07 11:17:04,peterjunglas,,ok
1621,testModel.mo,ticket/1621/testModel.mo,388,2011-09-16 14:22:50,leonardo.laguna,,ok
1639,MOS4.mo,ticket/1639/MOS4.mo,8305,2011-10-24 21:21:06,jez,,ok
1648,B.mo,ticket/1648/B.mo,967,2011-11-08 19:10:49,Frenkel TUD,,ok
1648,B.mos,ticket/1648/B.mos,33,2011-11-08 19:10:49,Frenkel TUD,,ok
1661,GearWithExternalRatioI.mo,ticket/1661/GearWithExternalRatioI.mo,1661,2011-11-30 12:41:47,peterjunglas,,ok
1661,schaltint.mo,ticket/1661/schaltint.mo,1758,2011-11-30 12:41:47,peterjunglas,,ok
1680,Test.Test1.c,ticket/1680/Test.Test1.c,13710,2012-01-25 22:08:51,chenouard-r,,ok
1680,_Test.Test1.h,ticket/1680/_Test.Test1.h,6004,2012-01-25 22:08:52,chenouard-r,,ok
